"restaurant_id","location_type","cuisine_type","delivery","average_daily_walk_ins","monthly_marketing_spend","seating_capacity","avg_check","star_rating","years_open","competitors_nearby","website_visits","weekly_reservations","labor_hours","number_of_tables","table_turnover","food_cost_percent","avg_ticket_time","catering_inquiries","monthly_revenue"
1411,"downtown","asian","yes",34,1277,91,72.72,3,4.1,3,484,55,1478,40,0.8,0.276,15.6,17,115196
1087,"suburban","asian","yes",55,1951,80,29.87,2.5,6.7,5,629,65,1479,35,0.99,0.292,15.5,9,104915
3496,"downtown","american","no",113,3208,72,63.46,3.5,2,7,1086,134,1670,39,1.15,0.304,22.2,22,119446
3323,"suburban","asian","no",32,500,43,37.12,3,6.5,4,463,60,1267,24,1.08,0.259,16.7,9,80854
333,"downtown","asian","no",35,1107,43,57.6,3.5,11.3,5,534,61,1113,28,1.1,0.251,18.1,11,97077
1067,"suburban","asian","yes",86,500,62,40.62,3,0.5,4,609,67,1650,33,0.87,0.272,15.9,20,111728
1307,"downtown","italian","yes",50,1215,66,59.37,3,12.2,6,473,56,1327,31,0.8,0.301,15.6,20,122198
2529,"downtown","american","no",31,500,68,25.83,2.5,0.5,3,337,31,1348,28,0.89,0.299,17,12,84609
4710,"suburban","italian","yes",99,2238,83,49.4,4,7.6,5,900,144,1713,45,1.11,0.325,17.7,24,118679
3288,"suburban","american","yes",84,2620,75,24.59,3.5,6.5,6,877,112,1632,39,1.31,0.321,13.4,17,105968
680,"suburban","asian","yes",71,2667,104,23.7,3,9.2,9,742,68,1688,49,1.34,0.298,20.2,26,95123
2280,"suburban","mexican","yes",55,3425,95,18,2.5,10.4,7,816,76,1764,41,0.88,0.241,16.2,12,87809
4974,"downtown","american","yes",139,2404,63,82.78,4.5,5.7,9,1027,176,1750,36,1.77,0.31,18.3,24,137143
1178,"suburban","american","yes",111,2440,90,38.66,3.5,5.8,8,941,131,1776,41,1.07,0.265,24.3,12,119007
4219,"suburban","italian","yes",38,1223,94,38.29,3.5,10.4,0,560,66,1331,40,0.82,0.323,15.5,11,107167
2761,"downtown","asian","yes",74,2370,74,82.98,3,6,3,771,104,1581,32,1.3,0.326,18.6,15,135716
4641,"downtown","mexican","no",113,4888,94,83.99,4.5,12.3,12,1350,165,1676,46,1.76,0.201,24.1,22,104950
399,"suburban","american","no",30,1471,96,201.75,4,3.8,6,557,68,1447,46,0.8,0.294,19.2,15,94431
1878,"suburban","american","yes",81,2230,89,18.25,3.5,1.7,9,748,101,1630,43,1.03,0.279,17.4,15,89291
4089,"downtown","american","yes",75,2482,88,59.79,3,6.8,8,735,69,1598,43,1,0.294,18.8,20,115079
3336,"downtown","asian","no",30,577,36,60.37,3,6.7,3,390,54,1147,16,0.8,0.225,20.2,18,103593
1736,"downtown","american","yes",126,2917,99,99.57,3.5,14.1,7,995,150,1892,48,1.02,0.292,20.3,30,126073
3912,"suburban","italian","yes",101,3992,88,64.18,3.5,7.5,8,1024,133,1454,43,1.74,0.35,19.7,20,117603
803,"suburban","asian","no",109,2476,91,92.66,4,3.8,8,915,163,1791,42,1.69,0.29,17.4,19,105601
838,"downtown","italian","yes",93,4147,92,79,4,12,7,1072,134,1602,41,1.39,0.276,18.5,20,141331
4700,"suburban","mexican","no",40,1180,85,41.72,2.5,4.9,2,448,57,1542,45,0.9,0.206,16.7,10,74833
114,"suburban","asian","no",15,500,59,25.97,3,7.3,0,368,42,1197,29,1.02,0.294,16.6,8,72452
996,"suburban","asian","no",117,2799,120,72.97,4,2.8,9,941,147,1941,52,1.44,0.277,20.1,22,105564
1797,"downtown","american","yes",91,3364,116,64.86,3,14.5,7,911,94,1609,54,0.95,0.286,14.9,17,129693
847,"downtown","asian","yes",62,2506,77,45.37,3,5.8,8,869,106,1387,40,1.23,0.274,16.3,16,110530
682,"tourist","mexican","no",131,4675,103,84.13,3.5,12.2,9,1311,164,2046,48,1.43,0.241,22,16,136432
4691,"suburban","asian","no",65,1758,71,74.26,3,10.6,2,724,71,1393,32,0.82,0.262,15.5,14,95835
1837,"downtown","italian","no",103,3658,129,172.66,3.5,9.2,6,1038,135,1874,55,1.43,0.309,24.2,23,122833
4800,"suburban","mexican","yes",43,2578,110,33.76,3.5,7.3,7,708,57,1483,44,0.83,0.274,17.6,21,89686
324,"downtown","italian","yes",85,3118,106,77.99,3.5,8.2,6,926,120,1729,49,1.4,0.299,16.9,23,138188
2371,"downtown","asian","no",32,1877,84,36.8,2.5,0.5,6,590,51,1384,37,0.8,0.293,15.9,18,91236
586,"tourist","asian","no",46,3037,132,44.39,3.5,12.1,5,760,62,1779,50,0.8,0.263,15.2,9,123191
1255,"suburban","asian","yes",15,500,55,38.13,3.5,6,0,365,39,986,30,0.8,0.295,18.2,11,85562
178,"tourist","italian","no",130,4099,119,108.2,4.5,15.3,10,1239,184,2010,55,1.34,0.35,18.6,26,160741
3020,"downtown","american","yes",50,1977,63,42.73,3,8.4,5,610,79,1286,29,1.1,0.273,15.3,13,109472
4120,"suburban","italian","yes",23,500,31,18,2.5,0.5,0,261,41,1056,17,0.8,0.322,17.8,6,87616
3822,"downtown","italian","no",92,1441,93,132.09,3.5,9.9,9,680,127,1554,45,0.8,0.313,20.7,14,118649
718,"downtown","asian","yes",93,2524,74,134.22,4.5,6.5,6,862,140,1527,35,1.96,0.324,24.5,26,140013
1911,"tourist","asian","yes",42,2056,65,30.1,4,6.6,4,722,72,1381,31,1.28,0.339,16.1,4,116731
758,"tourist","asian","no",92,2415,93,62.73,3.5,3.3,3,838,137,1848,43,1.29,0.312,16.3,16,139115
4658,"suburban","italian","yes",41,636,92,39.63,3.5,9.3,4,475,47,1646,42,0.8,0.303,13.8,17,96101
2506,"suburban","asian","no",47,3191,87,39.12,2.5,7.8,1,765,66,1423,41,0.87,0.318,18.3,12,97272
1439,"downtown","american","yes",86,2718,128,77.03,4,7.1,5,885,113,1844,53,1.27,0.316,19.5,17,132767
